school_name,borough_x,building_code_x,average_math_x,average_reading_x,average_writing_x,percent_tested_x,borough_y,building_code_y,average_math_y,average_reading_y,average_writing_y,percent_tested_y
Cultural Academy for the Arts and Sciences,Brooklyn,K415,382,395,384,57.3,Brooklyn,K415,382,395,384,57.3
Curtis High School,Staten Island,R450,453,458,444,64.2,Staten Island,R450,453,458,444,64.2
Cypress Hills Collegiate Preparatory School,Brooklyn,K420,365,370,362,53.8,Brooklyn,K420,365,370,362,53.8
DeWitt Clinton High School,Bronx,X440,445,436,433,31.8,Bronx,X440,445,436,433,31.8
Discovery High School,Bronx,X430,432,396,395,39.9,Bronx,X430,432,396,395,39.9
Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,K265,332,346,350,55.1,Brooklyn,K265,332,346,350,55.1
DreamYard Preparatory School,Bronx,X410,385,385,388,51.1,Bronx,X410,385,385,388,51.1
EBC High School for Public Service in Bushwick,Brooklyn,K913,389,374,378,50.0,Brooklyn,K913,389,374,378,50.0
Eagle Academy for Young Men,Bronx,X465,398,410,397,65.7,Bronx,X465,398,410,397,65.7
East Bronx Academy for the Future,Bronx,X973,418,406,408,41.1,Bronx,X973,418,406,408,41.1
East New York Family Academy,Brooklyn,K819,464,451,421,66.7,Brooklyn,K819,464,451,421,66.7
East Side Community School,Manhattan,M060,454,428,445,85.2,Manhattan,M060,454,428,445,85.2
East-West School of International Studies,Queens,Q237,521,457,451,89.4,Queens,Q237,521,457,451,89.4
Edward R. Murrow High School,Brooklyn,K525,500,479,472,75.2,Brooklyn,K525,500,479,472,75.2
El Puente Academy for Peace and Justice,Brooklyn,K778,344,380,379,62.5,Brooklyn,K778,344,380,379,62.5
Eleanor Roosevelt High School,Manhattan,M855,641,617,631,86.0,Manhattan,M855,641,617,631,86.0
Essex Street Academy,Manhattan,M445,395,411,387,78.9,Manhattan,M445,395,411,387,78.9
Excelsior Preparatory High School,Queens,Q420,384,407,400,70.1,Queens,Q420,384,407,400,70.1
Eximius College Preparatory Academy (College Board),Bronx,X002,400,391,397,78.2,Bronx,X002,400,391,397,78.2
Expeditionary Learning School for Community Leaders,Brooklyn,K400,420,396,396,75.0,Brooklyn,K400,420,396,396,75.0
Explorations Academy,Bronx,X098,377,372,365,43.0,Bronx,X098,377,372,365,43.0
FDNY High School for Fire and Life Safety,Brooklyn,K435,365,369,357,47.7,Brooklyn,K435,365,369,357,47.7
Facing History School,Manhattan,M535,366,356,371,57.3,Manhattan,M535,366,356,371,57.3
Fannie Lou Hamer Freedom High School,Bronx,X878,345,347,339,75.0,Bronx,X878,345,347,339,75.0
Felisa Rincon de Gautier Institute for Law and Public Policy,Bronx,X972,389,408,413,31.3,Bronx,X972,389,408,413,31.3
Fiorello H. LaGuardia High School of Music and Art and Performing Arts,Manhattan,M485,592,592,597,88.5,Manhattan,M485,592,592,597,88.5
Flushing High School,Queens,Q460,444,407,405,,Queens,Q460,444,407,405,
Flushing International High School,Queens,Q189,481,323,323,67.7,Queens,Q189,481,323,323,67.7
Food and Finance High School,Manhattan,M535,428,435,421,52.0,Manhattan,M535,428,435,421,52.0
Fordham High School for the Arts,Bronx,X435,398,404,412,56.2,Bronx,X435,398,404,412,56.2
Fordham Leadership Academy for Business and Technology,Bronx,X435,355,373,368,44.3,Bronx,X435,355,373,368,44.3
Forest Hills High School,Queens,Q440,517,485,483,72.8,Queens,Q440,517,485,483,72.8
Fort Hamilton High School,Brooklyn,K490,513,456,451,68.7,Brooklyn,K490,513,456,451,68.7
Frances Perkins Academy,Brooklyn,K610,399,413,400,46.3,Brooklyn,K610,399,413,400,46.3
Francis Lewis High School,Queens,Q430,562,483,485,80.7,Queens,Q430,562,483,485,80.7
Frank McCourt High School,Manhattan,M470,489,491,500,89.1,Manhattan,M470,489,491,500,89.1
Frank Sinatra School of the Arts High School,Queens,Q570,536,543,543,89.5,Queens,Q570,536,543,543,89.5
Franklin Delano Roosevelt High School,Brooklyn,K505,504,411,407,54.0,Brooklyn,K505,504,411,407,54.0
Frederick Douglass Academy,Manhattan,M010,463,452,450,65.1,Manhattan,M010,463,452,450,65.1
Frederick Douglass Academy II Secondary School,Manhattan,M088,390,384,373,,Manhattan,M088,390,384,373,
Frederick Douglass Academy III Secondary School,Bronx,X148,387,386,386,50.5,Bronx,X148,387,386,386,50.5
Frederick Douglass Academy VI High School,Queens,Q465,410,418,407,30.1,Queens,Q465,410,418,407,30.1
Frederick Douglass Academy VII High School,Brooklyn,K175,400,407,394,65.4,Brooklyn,K175,400,407,394,65.4
